,Time,cycle_phase,cycle_step,chamber_vacuum_valve_pv220,ut_pv220
44971,2017-03-08 12:29,2,1,0,8.87541008
44972,2017-03-08 12:29,2,1,0,8.992713928
44973,2017-03-08 12:29,2,1,0,9.441901207
44974,2017-03-08 12:29,2,1,0,9.156747818
44975,2017-03-08 12:29,2,1,0,11.37502956
44976,2017-03-08 12:29,2,1,0,10.06466007
44977,2017-03-08 12:29,2,1,0,8.215457916
44978,2017-03-08 12:29,2,1,0,8.021859169
44979,2017-03-08 12:29,2,1,0,9.486724854
44980,2017-03-08 12:29,2,1,0,8.679903984
44981,2017-03-08 12:29,2,1,0,8.116274834
44982,2017-03-08 12:29,2,1,0,8.57022953
44983,2017-03-08 12:29,2,1,0,8.897344589
44984,2017-03-08 12:29,2,1,0,10.80568027
44985,2017-03-08 12:29,2,1,0,9.395171165
44986,2017-03-08 12:29,2,1,0,8.307010651
44987,2017-03-08 12:29,2,1,0,8.536850929
44988,2017-03-08 12:29,2,1,0,8.287937164
44989,2017-03-08 12:29,2,1,0,11.72502995
44990,2017-03-08 12:29,2,1,0,8.740940094
44991,2017-03-08 12:29,2,1,0,7.940794945
44992,2017-03-08 12:29,2,1,0,9.961661339
44993,2017-03-08 12:29,2,1,0,8.996528625
44994,2017-03-08 12:29,2,1,0,9.048027992
44995,2017-03-08 12:29,2,1,0,14.7844696
44996,2017-03-08 12:29,2,1,0,9.356068611
44997,2017-03-08 12:29,2,1,0,8.314640045
44998,2017-03-08 12:29,2,1,0,8.744754791
44999,2017-03-08 12:29,2,1,0,8.395704269
45000,2017-03-08 12:29,2,1,0,9.572557449
45001,2017-03-08 12:30,2,1,0,8.654153824
45002,2017-03-08 12:30,2,1,0,8.583581924
45003,2017-03-08 12:30,2,1,0,9.293126106
45004,2017-03-08 12:30,2,1,0,9.83672905
45005,2017-03-08 12:30,2,1,0,14.92370987
45006,2017-03-08 12:30,2,1,0,9.250209808
45007,2017-03-08 12:30,2,1,0,8.9974823
45008,2017-03-08 12:30,2,1,0,8.36709404
45009,2017-03-08 12:30,2,1,0,7.939842224
45010,2017-03-08 12:30,2,1,0,9.445715904
45011,2017-03-08 12:30,2,1,0,8.182078362
45012,2017-03-08 12:30,2,1,0,8.666552544
45013,2017-03-08 12:30,2,1,0,7.93602705
45014,2017-03-08 12:30,2,1,0,7.541199207
45015,2017-03-08 12:30,2,1,0,7.361906052
45016,2017-03-08 12:30,2,1,0,8.33180809
45017,2017-03-08 12:30,2,1,0,7.243649006
45018,2017-03-08 12:30,2,1,0,24.58839035
45019,2017-03-08 12:30,2,1,0,9.005111694
45020,2017-03-08 12:30,2,1,0,7.923628807
45021,2017-03-08 12:30,2,1,0,7.809185982
45022,2017-03-08 12:30,2,1,0,7.35427618
45023,2017-03-08 12:30,2,1,0,7.31517601
45024,2017-03-08 12:30,2,1,0,7.570765018
45025,2017-03-08 12:30,2,1,0,7.262722015
45026,2017-03-08 12:30,2,1,0,7.999924183
45027,2017-03-08 12:30,2,1,0,6.837377071
45028,2017-03-08 12:30,2,1,0,7.140649796
45029,2017-03-08 12:30,2,1,0,8.327039719
45030,2017-03-08 12:30,2,1,0,7.809185982
45031,2017-03-08 12:30,2,1,0,9.661249161
45032,2017-03-08 12:30,2,1,0,8.14869976
45033,2017-03-08 12:30,2,1,0,7.255093098
45034,2017-03-08 12:30,2,1,0,7.434387207
45035,2017-03-08 12:30,2,1,0,6.881247044
45036,2017-03-08 12:30,2,1,0,9.344625473
45037,2017-03-08 12:30,2,1,0,7.510681152
45038,2017-03-08 12:30,2,1,0,7.397192001
45039,2017-03-08 12:30,2,1,0,7.621310234
45040,2017-03-08 12:30,2,1,0,8.378538132
45041,2017-03-08 12:30,2,1,0,8.291751862
45042,2017-03-08 12:30,2,1,0,7.646104813
45043,2017-03-08 12:30,2,1,0,7.240787983
45044,2017-03-08 12:30,2,1,0,7.707140923
45045,2017-03-08 12:30,2,1,0,8.138209343
45046,2017-03-08 12:30,2,1,0,7.193102837
45047,2017-03-08 12:30,2,1,0,7.528800964
45048,2017-03-08 12:30,2,1,0,7.58220911
45049,2017-03-08 12:30,2,1,0,7.569810867
45050,2017-03-08 12:30,2,1,0,8.062867165
